ref,subject,description,sprint,sprint_estimated_start,sprint_estimated_finish,owner,owner_full_name,assigned_to,assigned_to_full_name,assigned_users,assigned_users_full_name,status,is_closed,dev-points,total-points,backlog_order,sprint_order,kanban_order,created_date,modified_date,finish_date,client_requirement,team_requirement,attachments,generated_from_issue,external_reference,tasks,tags,watchers,voters,due_date,due_date_reason
2,Player client executable on Android devices,"As a Player, I want to be able to run the player client Android devices so that I can play the game on all my Android devices.",6. Sprint,2018-12-25,2018-12-31,lgehring,Lukas Gehring,,,,,Done,True,15.0,15.0,0,0,1541512320076,2018-11-06 13:52:00.086451+00:00,2019-01-08 11:30:07.274845+00:00,2019-01-08 11:30:05.400198+00:00,False,False,0,,,39,,[],0,,
3,Player login,"As a Player, I want to login to get to the lobby the way as the observer so that I can decide whether to play or watch a game.",5. Sprint,2018-12-18,2018-12-24,lgehring,Lukas Gehring,,,,,New,True,15.0,15.0,28,5,1541512532116,2018-11-06 13:55:32.125865+00:00,2018-12-21 13:49:15.842116+00:00,2019-01-05 16:33:56.823970+00:00,False,False,0,,,"40,162",,[],0,,
4,Player has possibility to observe,"As a Player, I want to have the same possibilities as the observer so that I can enter a game as an observer.",8. Sprint,2019-01-08,2019-01-14,lgehring,Lukas Gehring,,,,,Ready for test,True,10.0,10.0,29,11,1541512829603,2018-11-06 14:00:29.613485+00:00,2019-01-15 11:10:13.354843+00:00,2019-01-15 11:42:41.400860+00:00,False,False,0,,,41,,[],0,,
5,Player makes move in game,"As a Player, I want to be able to make moves in a game so that I can participate in a game as a player.",9. Sprint,2019-01-15,2019-01-21,lgehring,Lukas Gehring,,,,,Done,True,100.0,100.0,31,5,1541513099944,2018-11-06 14:04:59.953912+00:00,2019-01-23 17:01:05.793377+00:00,2019-01-20 21:37:44.536338+00:00,False,False,0,,,"43,45,46,128",,[],0,,
6,Swap tiles as player,"As a player, I want to be able to swap tiles from my hand with the deck, so that have new tiles on my hand in the next turn.",8. Sprint,2019-01-08,2019-01-14,lgehring,Lukas Gehring,,,,,New,True,30.0,30.0,32,12,1541513349471,2018-11-06 14:09:09.481262+00:00,2019-01-08 11:28:24.418784+00:00,2019-01-15 11:44:33.057250+00:00,False,False,0,,,"47,48,51",,[],0,,
7,Chat function for Player,"As a player, I want to be able to chat with other players so that I can communicate to players.",8. Sprint,2019-01-08,2019-01-14,lgehring,Lukas Gehring,,,,,Done,True,20.0,20.0,4,7,1541513610735,2018-11-06 14:13:30.743658+00:00,2019-01-15 11:49:42.228517+00:00,2019-01-15 15:06:36.207450+00:00,False,False,0,,,52,,[],0,,
8,Player can only see corresponding tiles,"As a Player, I want to see only the tiles on the board and those on my hand, so that I do not violate the rules of the game and see the tiles of the stack or other players.",8. Sprint,2019-01-08,2019-01-14,lgehring,Lukas Gehring,artemb,Artem Burchanow,artemb,Artem Burchanow,Ready for test,True,40.0,40.0,1,8,1541513748828,2018-11-06 14:15:48.837674+00:00,2019-01-15 11:48:14.244983+00:00,2019-01-15 15:06:45.653762+00:00,False,False,0,,,"53,54,124",,[],0,,
9,Remaining time for move,"As a Player, I want to see the remaining time so that I can finish my turn on time.",8. Sprint,2019-01-08,2019-01-14,lgehring,Lukas Gehring,artemb,Artem Burchanow,artemb,Artem Burchanow,In progress,True,20.0,20.0,2,5,1541519793660,2018-11-06 15:56:33.669934+00:00,2019-01-15 11:48:56.670410+00:00,2019-01-15 15:06:31.729388+00:00,False,False,0,,,59,,[],0,,
10,Game rules,"As a Player, I want to play the game with the correct game rules.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,In progress,True,120.0,120.0,40,6,1541519902026,2018-11-06 15:58:22.034396+00:00,2018-12-13 18:22:49.263033+00:00,2018-12-13 18:24:06.143439+00:00,False,False,0,,,"60,61,62",,[],0,,
11,Draw tiles from the stack,As a player I want to draw tiles from a random stack at the beginning of each turn so that I always have the configured number of tiles on hand.,9. Sprint,2019-01-15,2019-01-21,lgehring,Lukas Gehring,,,,,Done,True,40.0,40.0,3,0,1541520061395,2018-11-06 16:01:01.403222+00:00,2019-01-15 16:58:50.281960+00:00,2019-01-22 10:59:56.904124+00:00,False,False,0,,,"63,64",,[],0,,
12,Connect observer to server,"As an observer, I want to be able to login to the server, so that I can get to the lobby.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,Done,True,20.0,20.0,13,14,1541520345331,2018-11-06 16:05:45.340461+00:00,2019-01-25 12:53:24.358933+00:00,2018-12-13 18:28:30.997530+00:00,False,False,0,,,"65,66",,[],0,,
13,Disconnect observer from server,"As an observer, I want to be able to log out while I am in the lobby, so that I can stop my observing session.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,New,True,15.0,15.0,10,16,1541520435523,2018-11-06 16:07:15.532667+00:00,2018-12-13 18:22:59.097026+00:00,2018-12-13 18:30:21.750478+00:00,False,False,0,,,"68,69",,[],0,,
14,Observer select game category,"As an observer, I want to be able to select categories of games so that I can observe any game I want.",3. Sprint,2018-12-04,2018-12-10,lgehring,Lukas Gehring,,,,,New,True,30.0,30.0,23,18,1541520586941,2018-11-06 16:09:46.950018+00:00,2018-12-13 18:23:11.679947+00:00,2018-12-13 18:32:59.342734+00:00,False,False,0,,,70,,[],0,,
